"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"28","64356","CSCI 780 (3, 3)","Special Topics in Computer Sci","T, TH","3:10 PM - 4:25 PM","Boklan, Kent","SB B141","2","10","In-Person",
"27","64354","CSCI 780 (3, 3)","Special Topics in Computer Sci","T, TH","1:40 PM - 2:55 PM","Whitehead, Jennifer","SB B145","4","4","In-Person",
"26","64352","CSCI 780 (3, 3)","Special Topics in Computer Sci","T, TH","1:40 PM - 2:55 PM","Sy, Bon","SB B131","4","6","In-Person",
"52","64344","CSCI 780 (3, 3)","Special Topics in Computer Sci","F","9:10 AM - 12:00 PM","Yuan, Changhe","SB B141","3","10","In-Person",
"60","92761","CSCI 7993 (3, 3)","Vt:Research","&nbsp;"," - ","Yuan, Changhe"," ","1","1","In-Person",
"01","66591","CUNBA 49905 (.5, 0)","Cuny Ba","&nbsp;"," - ",", "," ","2","35","In-Person",
"01","66592","CUNBA 4991 (1, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66593","CUNBA 49910 (10, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66594","CUNBA 49911 (11, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66595","CUNBA 49912 (12, 0)","Cuny Ba","&nbsp;"," - ",", "," ","1","35","In-Person",
"01","66596","CUNBA 49913 (13, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66597","CUNBA 49914 (14, 0)","Cuny Ba","&nbsp;"," - ",", "," ","1","35","In-Person",
"01","66598","CUNBA 49915 (15, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66599","CUNBA 49916 (16, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66600","CUNBA 49917 (17, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66601","CUNBA 49918 (18, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66602","CUNBA 4992 (2, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66603","CUNBA 4993 (3, 0)","Cuny Ba","&nbsp;"," - ",", "," ","4","35","In-Person",
"01","66604","CUNBA 4994 (4, 0)","Cuny Ba","&nbsp;"," - ",", "," ","2","35","In-Person",
"01","66605","CUNBA 4995 (5, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66606","CUNBA 4996 (6, 0)","Cuny Ba","&nbsp;"," - ",", "," ","1","35","In-Person",
"01","66607","CUNBA 4997 (7, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66608","CUNBA 4998 (8, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66609","CUNBA 4999 (9, 0)","Cuny Ba","&nbsp;"," - ",", "," ","0","35","In-Person",
"01","66610","CUNBA 7993 (3, 0)","Cuny-Ba","&nbsp;"," - ",", "," ","1","35","In-Person",
"01","65757","DANCE 150 (3, 3)","Intro To Dance","T, TH","9:15 AM - 10:30 AM","Fittante, Carlos","RA 101B","28","25","In-Person",
"02","65761","DANCE 150 (3, 3)","Intro To Dance","T, F","10:45 AM - 12:00 PM","Webb, Carolyn","RA 101B","25","25","In-Person",
"03","65762","DANCE 150 (3, 3)","Intro To Dance","T, TH","1:40 PM - 2:55 PM","Lipton, Gillian","RA 101A","30","30","In-Person",
"04","65771","DANCE 150 (3, 3)","Intro To Dance","M, W","1:40 PM - 2:55 PM","Love, Lori","RA 101B","25","25","In-Person",
"01","65777","DANCE 151 (3, 3)","Dance And Culture","T, TH","3:10 PM - 4:25 PM","Lipton, Gillian","RA 101A","30","30","In-Person",
"01","65778","DANCE 160 (3, 2)","Modern Dance 1","M, W","10:45 AM - 12:00 PM","Weeks, Edisa","RA 101A","29","30","In-Person",
"01","65787","DANCE 161 (3, 2)","Ballet 1","T, TH","10:45 AM - 12:00 PM","Fittante, Carlos","RA 101A","29","30","In-Person",
"01","65806","DANCE 166 (3, 2)","Tai Chi Chuan","M, W","9:15 AM - 10:30 AM","Critchell, Yinmei","RA 101A","30","30","In-Person",
"01","65812","DANCE 168 (3, 2)","Tap 1","T, TH","12:15 PM - 1:30 PM","Davis, Marshall","RA 101B","24","25","In-Person",
"01","65813","DANCE 169 (3, 2)","Jazz 1","T, F","9:15 AM - 10:30 AM","Webb, Carolyn","RA 101A","14","30","In-Person",
"01","65815","DANCE 173 (3, 3)","Choreography 1","M, W","1:40 PM - 2:55 PM","Winberg, Richard","RA 101A","13","25","In-Person",
"01","65930","DANCE 199 (3, 1)","Dance Tech Practicum","&nbsp;"," - ","Critchell, Yinmei","RA 110","0","1","In-Person",
"01","65843","DANCE 259 (3, 3)","Analysis Of Dance Movement","T, TH","12:15 PM - 1:30 PM","Carstens, Marie","RA 101A","30","30","In-Person",
