"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","39777","MATH 116 (3, 3)","Math Of Finance","M, W","5:00 PM - 6:15 PM","Jin, Zhanguo","KY 334","8","25","In-Person",
"01","39778","MATH 119 (3, 3)","Math/Elem Sch Teach","T, TH","6:30 PM - 7:45 PM","Rocklin, Steven","KY 326","18","25","In-Person",
"06","39791","MATH 119 (3, 3)","Math/Elem Sch Teach","T, TH","10:45 AM - 12:00 PM","Novak, Naomi","PH 132","26","25","In-Person",
"05","39788","MATH 119 (3, 3)","Math/Elem Sch Teach","M, W","7:45 AM - 9:00 AM","Wen, Cheng-Cheng","KY 242","25","25","In-Person",
"04","39784","MATH 119 (3, 3)","Math/Elem Sch Teach","M, W","1:40 PM - 2:55 PM","Pastore, Joseph","KY 277","24","25","In-Person",
"07","39796","MATH 119 (3, 3)","Math/Elem Sch Teach","T, TH","12:15 PM - 1:30 PM","Liu, Zong Wang","KY 334","25","25","In-Person",
"08","39799","MATH 119 (3, 3)","Math/Elem Sch Teach","M, W","3:10 PM - 4:25 PM","Nakayama, Akina","KY 065","23","25","In-Person",
"03","39782","MATH 119 (3, 3)","Math/Elem Sch Teach","T, TH","1:40 PM - 2:55 PM","Feldman, Scott","KY 059","20","25","In-Person",
"05","39819","MATH 120 (3, 3)","Discrete Math Csci","M, W","1:40 PM - 2:55 PM","Miller, Jeremy","KY 318","31","25","In-Person",
"04","39811","MATH 120 (3, 3)","Discrete Math Csci","M, W","10:45 AM - 12:00 PM","Miller, Jeremy","KS 120","34","25","In-Person",
"03","39808","MATH 120 (3, 3)","Discrete Math Csci","M, W","8:00 PM - 9:15 PM","Chow, Honho","KY 273","30","25","In-Person",
"02","39806","MATH 120 (3, 3)","Discrete Math Csci","T, TH","9:15 AM - 10:30 AM","Lee, David","KY 242","29","25","In-Person",
"01","39803","MATH 120 (3, 3)","Discrete Math Csci","T, TH","7:45 AM - 9:00 AM","Lee, David","KY 242","29","25","In-Person",
"QI1","56007","MATH 122 (4, 4)","Precalculus","&nbsp;"," - ","Penagos, Julio"," ","31","30","In-Person",
"01","39844","MATH 122 (4, 4)","Precalculus","M, T, W, TH","10:05 AM - 10:55 AM","Eisen, Carole","KY 326","21","25","In-Person",
"02","39847","MATH 122 (4, 4)","Precalculus","M, T, W, TH","11:10 AM - 12:00 PM","Eisen, Carole","KY 326","23","25","In-Person",
"03","39850","MATH 122 (4, 4)","Precalculus","T, TH","8:00 AM - 9:50 AM","Eisen, Carole","KY 326","21","25","In-Person",
"19","40524","MATH 122 (4, 4)","Precalculus","M, W","8:00 AM - 9:50 AM","Clarke, Anisha","RZ 147","23","20","In-Person",
